genre,metascore,movie,rate,time,votes,year
"
Documentary            ",20,Expelled: No Intelligence Allowed,3.7,90 min,11547,(2008)
"
Documentary, Music            ",70,It Might Get Loud,7.6,98 min,11511,(2008)
"
Documentary, Biography, Sport            ",83,Tyson,7.5,90 min,11389,(2008)
"
Drama, History, War            ",66,Oorlogswinter,7.0,103 min,11244,(2008)
"
Drama, Romance            ",64,Brideshead Revisited,6.7,133 min,11085,(2008)
"
Comedy, Drama, Romance            ",68,Paris,6.9,130 min,10866,(I) (2008)
"
Crime, Drama            ",71,What Doesn't Kill You,6.6,100 min,10617,(2008)
"
Documentary, Biography, Music            ",76,Shine a Light,7.2,122 min,10333,(2008)
"
Crime, Drama, Thriller            ",57,Fifty Dead Men Walking,6.9,117 min,10188,(2008)
"
Comedy, Drama            ",73,Me and Orson Welles,6.8,114 min,10039,(2008)
"
Drama, Mystery, Thriller            ",34,The Other Man,5.5,88 min,10018,(2008)
"
Crime, Drama, Horror            ",43,Donkey Punch,5.2,99 min,10014,(2008)
"
Action, Crime, Drama            ",53,Jerusalema,7.7,119 min,9952,(2008)
"
Comedy, Horror            ",62,I Sell the Dead,6.1,85 min,9939,(2008)
"
Drama            ",89,Aruitemo aruitemo,8.0,115 min,9750,(2008)
"
Animation, Adventure, Comedy            ",36,Space Chimps,4.5,81 min,9735,(2008)
"
Drama, Sport            ",37,Forever Strong,7.2,112 min,9591,(2008)
"
Comedy, Drama, Music            ",49,Soul Men,6.5,100 min,9575,(2008)
"
Drama, Horror, Thriller            ",61,Red,7.1,93 min,9478,(2008)
"
Action, Comedy, Drama            ",78,Ai no mukidashi,8.1,237 min,9355,(2008)
"
Comedy, Drama, Romance            ",38,Gigantic,6.1,98 min,8985,(2008)
"
Comedy, Fantasy            ",20,An American Carol,4.3,83 min,8979,(2008)
"
Drama, War            ",49,The Children of Huang Shi,7.1,125 min,8755,(2008)
"
Comedy, Crime, Drama            ",41,First Sunday,4.4,96 min,8519,(2008)
"
Drama, Horror, Thriller            ",28,The Haunting of Molly Hartley,3.9,82 min,8443,(2008)
"
Comedy, Drama, Romance            ",65,"Patrik 1,5",6.9,103 min,8384,(2008)
"
Documentary, Music            ",59,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2.4,74 min,8326,(2008)
"
Comedy, Drama, Fantasy            ",63,Tokyo!,7.1,112 min,8231,(2008)
"
Drama, Romance            ",68,The Black Balloon,7.3,97 min,8084,(2008)
"
Biography, Drama, Romance            ",41,Little Ashes,6.6,112 min,7995,(2008)
"
Comedy            ",16,"Surfer, Dude",4.7,85 min,7884,(2008)
"
Drama            ",80,Tokyo Sonata,7.6,120 min,7820,(2008)
"
Drama, Family            ",74,Avaze gonjeshk-ha,7.9,96 min,7788,(2008)
"
Drama            ",80,Le silence de Lorna,7.2,105 min,7617,(2008)
"
Comedy, Drama, Sport            ",67,Rudo y Cursi,6.7,106 min,7478,(2008)
"
Horror, Sci-Fi, Thriller            ",26,The Objective,5.5,90 min,7424,(2008)
"
Drama, Romance            ",62,The Yellow Handkerchief,6.8,102 min,7374,(2008)
"
Comedy, Drama, Romance            ",54,Good Dick,6.4,86 min,7238,(2008)
"
Drama            ",56,Phoebe in Wonderland,7.2,96 min,7088,(2008)
"
Documentary, Biography, Music            ",73,Gonzo: The Life and Work of Dr. Hunter S. Thompson,7.7,120 min,6999,(2008)
"
Drama            ",49,The Family That Preys,5.4,111 min,6290,(2008)
"
Drama, Romance, War            ",40,Good,6.2,92 min,6259,(2008)
"
Drama, Family            ",85,L'heure d'été,7.2,103 min,6187,(2008)
"
Drama, Romance, Thriller            ",45,Uncertainty,5.8,101 min,6160,(2008)
"
Comedy, Drama, Romance            ",45,Meet the Browns,4.2,100 min,6079,(2008)
"
Drama, Romance, Sci-Fi            ",59,Sleep Dealer,5.9,90 min,6050,(2008)
"
Comedy, Drama            ",84,Un conte de Noël,7.1,150 min,6027,(2008)
"
Drama, War            ",74,Etz Limon,7.4,106 min,5843,(2008)
"
Crime, Drama, Horror            ",40,While She Was Out,4.8,86 min,5838,(2008)
"
Documentary, Comedy, War            ",45,Where in the World Is Osama Bin Laden?,6.5,90 min,5730,(2008)
"
Comedy, Crime            ",17,Witless Protection,3.2,97 min,5712,(2008)
"
Comedy, Drama            ",77,Somers Town,6.9,71 min,5638,(2008)
"
Biography, Drama            ",84,Séraphine,7.4,125 min,5397,(2008)
"
Biography, Drama, History            ",74,Anonyma - Eine Frau in Berlin,7.1,131 min,5367,(2008)
"
Crime, Drama, Thriller            ",62,Julia,7.1,144 min,5355,(2008)
"
Adventure, Drama, War            ",69,Inglourious Basterds,8.3,153 min,1059241,(2009)
"
Action, Adventure, Fantasy            ",83,Avatar,7.8,162 min,998675,(2009)
"
Animation, Adventure, Comedy            ",88,Up,8.3,96 min,798712,(2009)
"
Comedy            ",73,The Hangover,7.7,100 min,645904,(2009)
"
Sci-Fi, Thriller            ",81,District 9,7.9,112 min,586443,(2009)
"
Action, Adventure, Sci-Fi            ",82,Star Trek,8.0,127 min,546270,(2009)
"
Action, Adventure, Crime            ",57,Sherlock Holmes,7.6,128 min,530770,(2009)
"
Adventure, Comedy, Horror            ",73,Zombieland,7.7,88 min,438762,(2009)
"
Action, Drama, Mystery            ",56,Watchmen,7.6,162 min,436491,(2009)
"
Comedy, Drama, Romance            ",76,(500) Days of Summer,7.7,95 min,425944,(2009)
"
Action, Adventure, Sci-Fi            ",40,X-Men Origins: Wolverine,6.6,107 min,417475,(2009)
"
Adventure, Family, Fantasy            ",78,Harry Potter and the Half-Blood Prince,7.6,153 min,389028,(2009)
"
Action, Adventure, Sci-Fi            ",35,Transformers: Revenge of the Fallen,6.0,150 min,354458,(2009)
"
Action, Adventure, Sci-Fi            ",49,2012,5.8,158 min,316457,(I) (2009)
"
Action, Adventure, Sci-Fi            ",49,Terminator Salvation,6.6,115 min,311502,(2009)
"
Drama, Mystery, Sci-Fi            ",67,Moon,7.9,97 min,299612,(2009)
"
Drama, Romance            ",83,Up in the Air,7.4,109 min,292767,(I) (2009)
"
Comedy, Drama            ",67,3 Idiots,8.4,170 min,279295,(2009)
"
Comedy, Drama, Romance            ",48,The Proposal,6.7,108 min,259844,(I) (2009)
"
Biography, Drama, Sport            ",53,The Blind Side,7.7,129 min,255429,(2009)
"
Biography, Crime, Drama            ",70,Public Enemies,7.0,140 min,253456,(2009)
"
Mystery, Thriller            ",48,Angels & Demons,6.7,138 min,243071,(2009)
"
Crime, Drama, Thriller            ",34,Law Abiding Citizen,7.4,109 min,242144,(2009)
"
Adventure, Drama, Fantasy            ",44,The Twilight Saga: New Moon,4.7,130 min,240266,(2009)
"
Action, Crime, Thriller            ",46,Fast & Furious,6.6,107 min,233167,(2009)
"
Drama, Mystery, Sci-Fi            ",41,Knowing,6.2,121 min,203452,(2009)
"
Adventure, Drama            ",64,The Road,7.3,111 min,200014,(I) (2009)
"
Animation, Action, Adventure            ",50,Ice Age: Dawn of the Dinosaurs,7.0,94 min,192437,(2009)
"
Crime, Drama, Mystery            ",76,Män som hatar kvinnor,7.8,152 min,191292,(2009)
"
Action, Adventure, Sci-Fi            ",32,G.I. Joe: The Rise of Cobra,5.8,118 min,187459,(2009)
"
Drama, Fantasy, Romance            ",63,Mr. Nobody,7.9,141 min,186897,(2009)
"
Comedy, Romance            ",28,The Ugly Truth,6.5,96 min,183219,(2009)
"
Comedy, Romance            ",70,"I Love You, Man",7.0,105 min,180983,(2009)
"
Animation, Action, Adventure            ",66,Cloudy with a Chance of Meatballs,7.0,90 min,176662,(2009)
"
Horror, Thriller            ",83,Drag Me to Hell,6.6,99 min,171934,(2009)
"
Animation, Drama, Fantasy            ",80,Coraline,7.7,100 min,171073,(2009)
"
Horror, Mystery, Thriller            ",42,Orphan,7.0,123 min,167811,(2009)
"
Animation, Adventure, Comedy            ",83,Fantastic Mr. Fox,7.8,87 min,167746,(2009)
"
Action, Crime, Thriller            ",55,The Taking of Pelham 123,6.4,106 min,166779,(2009)
"
Drama, Mystery, Romance            ",80,El secreto de sus ojos,8.2,129 min,163765,(2009)
"
Comedy, Drama, Fantasy            ",48,17 Again,6.4,102 min,161262,(2009)
"
Action, Sci-Fi, Thriller            ",45,Surrogates,6.3,89 min,160393,(2009)
"
Adventure, Comedy, Family            ",42,Night at the Museum: Battle of the Smithsonian,5.9,105 min,151880,(2009)
"
Comedy, Drama, Romance            ",47,He's Just Not That Into You,6.4,129 min,145198,(2009)
"
Comedy, Drama, Romance            ",76,Adventureland,6.8,107 min,143567,(2009)
"
Drama, Fantasy, Thriller            ",42,The Lovely Bones,6.7,135 min,139916,(2009)
"
Action, Adventure, Fantasy            ",44,Underworld: Rise of the Lycans,6.6,92 min,137548,(2009)
"
Biography, Drama, History            ",74,Invictus,7.4,134 min,136918,(2009)
"
Adventure, Comedy, Fantasy            ",65,The Imaginarium of Doctor Parnassus,6.8,123 min,135585,(2009)
"
Action, Horror, Mystery            ",28,Pandorum,6.8,108 min,133618,(2009)
"
Comedy            ",54,Brüno,5.8,81 min,130254,(2009)
"
Animation, Action, Adventure            ",56,Monsters vs. Aliens,6.5,94 min,130152,(2009)
"
Drama, Fantasy, Romance            ",47,The Time Traveler's Wife,7.1,107 min,128078,(2009)
"
Action, Crime, Thriller            ",41,Crank: High Voltage,6.2,96 min,126874,(2009)
"
Crime, Drama, Mystery            ",64,State of Play,7.1,127 min,122658,(2009)
"
Action, Sci-Fi, Thriller            ",27,Gamer,5.8,95 min,122080,(2009)
"
Animation, Action, Adventure            ",60,9,7.1,79 min,122049,(I) (2009)
"
Drama            ",85,An Education,7.3,100 min,120573,(2009)
"
Comedy, War            ",54,The Men Who Stare at Goats,6.2,94 min,118738,(2009)
"
Comedy, Drama            ",79,A Serious Man,7.0,106 min,116319,(2009)
"
Action, Fantasy, Horror            ",57,Daybreakers,6.5,98 min,113911,(2009)
"
Comedy, Drama            ",60,Funny People,6.3,146 min,106979,(2009)
"
Animation, Adventure, Comedy            ",73,The Princess and the Frog,7.1,97 min,103473,(2009)
"
Comedy, Fantasy, Romance            ",58,The Invention of Lying,6.4,100 min,103443,(2009)
"
Comedy, Horror            ",47,Jennifer's Body,5.2,102 min,102580,(2009)
"
Drama, Horror            ",49,Antichrist,6.6,108 min,101499,(2009)
"
Drama, War            ",58,Brothers,7.1,105 min,99404,(I) (2009)
"
Comedy, Drama, Music            ",58,The Boat That Rocked,7.4,135 min,98908,(2009)
"
Action, Sci-Fi, Thriller            ",36,Push,6.1,111 min,98182,(2009)
"
Drama            ",79,Precious,7.3,110 min,97311,(II) (2009)
"
Drama, Romance            ",77,A Single Man,7.6,99 min,96498,(2009)
"
Adventure, Drama, Family            ",71,Where the Wild Things Are,6.8,101 min,94491,(2009)
"
Action, Comedy, Crime            ",39,Paul Blart: Mall Cop,5.2,91 min,92507,(2009)
"
Comedy            ",23,Couples Retreat,5.5,113 min,91485,(2009)
"
Biography, Drama, Romance            ",66,Julie & Julia,7.0,118 min,91247,(2009)
"
Comedy, Romance            ",24,Bride Wars,5.5,89 min,90364,(2009)
"
Horror, Mystery, Thriller            ",30,Saw VI,6.0,90 min,89388,(2009)
"
Animation, Drama, Family            ",55,A Christmas Carol,6.8,96 min,86338,(2009)
"
Crime, Drama            ",90,Un prophète,7.9,155 min,85930,(2009)
"
Drama, Horror, Sci-Fi            ",66,Splice,5.8,104 min,85526,(2009)
"
Horror            ",34,Friday the 13th,5.6,97 min,85320,(2009)
"
Fantasy, Horror, Mystery            ",30,The Final Destination,5.2,82 min,85251,(2009)
"
Biography, Comedy, Crime            ",65,I Love You Phillip Morris,6.6,98 min,85225,(2009)
"
Action, Crime, Drama            ",52,The International,6.5,118 min,84993,(I) (2009)
"
Drama, Fantasy, Mystery            ",47,The Box,5.6,115 min,83029,(I) (2009)
"
Adventure, Comedy            ",34,Year One,4.9,97 min,82783,(2009)
"
Drama, Family            ",51,My Sister's Keeper,7.4,109 min,82634,(2009)
"
Crime, Drama, Mystery            ",66,Flickan som lekte med elden,7.2,129 min,81805,(2009)
"
Action, Crime, Drama            ",55,Harry Brown,7.2,103 min,79073,(2009)
"
Comedy, Drama, Romance            ",57,It's Complicated,6.6,120 min,77669,(2009)
"
Drama, Music, Romance            ",83,Crazy Heart,7.3,112 min,76703,(2009)
"
Horror, Thriller            ",42,The Last House on the Left,6.6,110 min,76419,(2009)
"
Comedy, Fantasy, Romance            ",34,Ghosts of Girlfriends Past,5.8,100 min,74955,(2009)
"
Crime, Drama            ",69,The Bad Lieutenant: Port of Call - New Orleans,6.6,122 min,69392,(2009)
"
Comedy, Drama, Romance            ",63,Youth in Revolt,6.5,90 min,69299,(2009)
"
Drama, Horror, Mystery            ",43,The Uninvited,6.4,87 min,69188,(2009)
"
Comedy, Family, Romance            ",38,Confessions of a Shopaholic,5.9,104 min,68918,(2009)
"
Horror, Mystery, Thriller            ",25,Case 39,6.2,109 min,68391,(2009)
"
Mystery, Sci-Fi, Thriller            ",34,The Fourth Kind,5.9,98 min,68223,(2009)
"
Comedy, Romance            ",45,Whatever Works,7.2,93 min,65381,(2009)
"
Horror            ",33,The Human Centipede (First Sequence),4.4,92 min,65246,(2009)
"
Action, Adventure, Fantasy            ",48,Solomon Kane,6.1,104 min,64413,(2009)
"
Action, Adventure, Fantasy            ",45,Dragonball Evolution,2.6,85 min,63547,(2009)
"
Drama, Mystery, Romance            ",48,Chloe,6.3,96 min,63017,(2009)
"
Action, Crime, Fantasy            ",34,Ninja Assassin,6.4,99 min,62849,(2009)
"
Adventure, Mystery, Thriller            ",63,A Perfect Getaway,6.5,98 min,62035,(2009)
"
Horror, Thriller            ",52,[Rec]²,6.5,85 min,61736,(2009)
"
Drama, Horror, Thriller            ",73,Kynodontas,7.3,94 min,61240,(2009)
"
Drama, History, Mystery            ",82,Das weiße Band - Eine deutsche Kindergeschichte,7.8,144 min,60566,(2009)
"
Drama, Sport            ",68,Whip It,6.9,111 min,59962,(2009)
"
Crime, Drama, Thriller            ",60,Luftslottet som sprängdes,7.3,147 min,59897,(2009)
"
Adventure, Biography, Drama            ",55,Agora,7.2,127 min,59387,(2009)
"
Comedy, Horror            ",61,Død snø,6.3,90 min,59383,(2009)
"
Adventure, Comedy, Sci-Fi            ",32,Land of the Lost,5.4,102 min,58408,(2009)
"
Biography, Comedy, Crime            ",66,The Informant!,6.5,108 min,57810,(2009)
"
Action, Crime, Thriller            ",24,The Boondock Saints II: All Saints Day,6.3,118 min,57205,(2009)
"
Crime, Drama, Thriller            ",43,Brooklyn's Finest,6.7,132 min,56509,(2009)
"
Drama, Fantasy            ",69,Enter the Void,7.3,161 min,56144,(2009)
"
Comedy, Crime, Drama            ",54,Observe and Report,5.8,86 min,55872,(2009)
"
Drama, Horror, Mystery            ",33,The Haunting in Connecticut,5.9,92 min,54867,(2009)
"
Adventure, Drama            ",47,Everybody's Fine,7.1,99 min,54695,(2009)
"
Drama            ",81,Fish Tank,7.3,123 min,53324,(2009)
"
Adventure, Comedy, Drama            ",45,Fanboys,6.6,90 min,53181,(2009)
"
Biography, Drama, History            ",64,The Young Victoria,7.3,105 min,51923,(2009)
"
Horror, Thriller            ",29,The Collector,6.4,90 min,50233,(I) (2009)
"
Adventure, Drama, Fantasy            ",61,Valhalla Rising,6.0,93 min,49769,(2009)
"
Comedy            ",83,In the Loop,7.5,106 min,49403,(2009)
"
Horror, Mystery, Thriller            ",51,My Bloody Valentine,5.5,101 min,49262,(2009)
"
Action, Adventure, Family            ",52,Race to Witch Mountain,5.7,98 min,49148,(2009)
"
Comedy, Drama, Romance            ",58,Away We Go,7.1,98 min,48778,(2009)
"
Biography, Drama, Music            ",61,The Soloist,6.7,117 min,47390,(2009)
"
Drama, Horror, Mystery            ",30,The Unborn,4.8,88 min,45714,(2009)
"
Animation, Adventure, Comedy            ",39,Planet 51,6.1,91 min,45710,(2009)
"
Comedy, Crime, Romance            ",69,Duplicity,6.2,125 min,44300,(2009)
"
Documentary, Crime            ",84,The Cove,8.5,92 min,44109,(2009)
"
Comedy, Crime, Romance            ",61,Extract,6.2,92 min,41708,(2009)
"
Horror            ",35,Halloween II,4.9,105 min,41490,(2009)
"
Action, Comedy            ",65,Black Dynamite,7.4,84 min,40868,(2009)
"
Action, Crime, Thriller            ",64,Banlieue 13: Ultimatum,6.5,101 min,40221,(2009)
"
Drama, Musical, Romance            ",49,Nine,5.8,118 min,40087,(2009)
"
Comedy            ",31,Fired Up!,6.2,90 min,39893,(2009)
"
Action, Adventure, Fantasy            ",43,Cirque du Freak: The Vampire's Assistant,5.9,109 min,39220,(2009)
"
Documentary, Crime, News            ",61,Capitalism: A Love Story,7.4,127 min,38757,(2009)
"
Adventure, Comedy, Crime            ",36,The Pink Panther 2,5.6,92 min,37610,(2009)
"
Animation, Action, Adventure            ",41,G-Force,5.1,88 min,37444,(2009)
"
Animation, Comedy, Family            ",41,Alvin and the Chipmunks: The Squeakquel,4.5,88 min,37020,(2009)
"
Biography, Drama, Sport            ",81,The Damned United,7.6,98 min,36808,(2009)
"
Biography, Crime, Drama            ",60,Notorious,6.7,122 min,36750,(2009)
"
Comedy, Romance            ",17,All About Steve,4.8,99 min,36294,(2009)
"
Drama            ",55,The Joneses,6.5,96 min,36094,(2009)
"
Drama, Horror, Romance            ",73,Bakjwi,7.2,135 min,35933,(2009)
"
Comedy, Drama, Family            ",47,Hannah Montana: The Movie,4.3,102 min,35544,(2009)
"
Documentary, Music            ",67,This Is It,7.3,111 min,35543,(2009)
"
Comedy, Drama, Romance            ",43,Spread,5.9,97 min,35384,(2009)
"
Biography, Drama            ",65,Coco avant Chanel,6.7,105 min,35341,(2009)
"
Drama, Mystery, Thriller            ",87,Darbareye Elly,8.1,119 min,35147,(2009)
"
Horror            ",73,The House of the Devil,6.4,95 min,35059,(2009)
"
Action, Crime, Drama            ",79,Madeo,7.8,129 min,34714,(2009)
"
Comedy, Drama            ",69,World's Greatest Dad,6.9,99 min,34694,(I) (2009)
"
Drama, Romance, Thriller            ",76,Los abrazos rotos,7.2,127 min,34665,(2009)
"
Comedy, Crime, Drama            ",60,Middle Men,6.6,105 min,34621,(2009)
"
Drama, Horror, Mystery            ",36,After.Life,5.9,104 min,33691,(2009)
"
Comedy, Family            ",19,Old Dogs,5.4,88 min,33676,(I) (2009)
"
Comedy, Crime, Drama            ",57,Defendor,6.8,101 min,33576,(2009)
"
Comedy, Drama, Romance            ",27,Did You Hear About the Morgans?,4.8,103 min,33056,(2009)
"
Comedy, Drama            ",76,Soul Kitchen,7.3,99 min,32832,(2009)
"
Biography, Drama, Music            ",67,Nowhere Boy,7.2,98 min,31922,(2009)
"
Drama, Romance, War            ",77,The Messenger,7.1,113 min,31755,(I) (2009)
"
Comedy, Drama, Romance            ",56,Adam,7.2,99 min,31675,(I) (2009)
"
Comedy, Romance            ",32,"I Love You, Beth Cooper",5.3,102 min,31118,(2009)
"
Action, Drama, Sport            ",61,Fighting,5.6,105 min,29954,(2009)
"
Animation, Action, Comedy            ",53,Astro Boy,6.3,94 min,29170,(2009)
"
Comedy, Drama            ",66,City Island,7.4,104 min,28822,(2009)
"
Adventure, Crime, Drama            ",77,Sin nombre,7.6,96 min,28577,(2009)
"
Drama, Romance            ",33,Love Happens,5.6,109 min,27994,(2009)
"
Action, Crime, Thriller            ",50,Armored,5.7,88 min,27970,(2009)
"
Animation, Adventure, Family            ",81,The Secret of Kells,7.7,71 min,27045,(2009)
"
Action, Comedy, Crime            ",62,Mic Macs à Tire-Larigot,7.2,105 min,26897,(2009)
"
Biography, Comedy, Drama            ",55,Taking Woodstock,6.7,120 min,26520,(2009)
"
Crime, Thriller            ",33,The Stepfather,5.6,101 min,26469,(2009)
"
Horror, Mystery            ",24,Sorority Row,5.1,101 min,26168,(2009)
"
Drama, Romance, Thriller            ",25,Obsessed,4.9,108 min,25797,(2009)
"
Comedy, Crime, Drama            ",58,Leaves of Grass,6.5,105 min,25269,(2009)
"
Action, Crime, Thriller            ",38,12 Rounds,5.6,108 min,25146,(2009)
"
Biography, Drama, Romance            ",81,Bright Star,7.0,119 min,23385,(2009)
"
Action, Sci-Fi, Thriller            ",70,Universal Soldier: Regeneration,5.2,97 min,23308,(2009)
"
Drama, Romance            ",77,J'ai tué ma mère,7.5,96 min,23307,(2009)
"
Crime, Horror, Thriller            ",65,The Disappearance of Alice Creed,6.7,100 min,22853,(2009)
"
Crime, Drama            ",38,Crossing Over,6.8,113 min,21255,(2009)
"
Action, Crime, Thriller            ",17,Street Fighter: The Legend of Chun-Li,3.7,96 min,21217,(2009)
"
Animation, Action, Comedy            ",63,Samâ uôzu,7.6,114 min,21094,(2009)
"
Adventure, Fantasy, Thriller            ",57,The Hole,5.7,92 min,20884,(2009)
"
Drama, Mystery            ",77,Get Low,7.1,103 min,20456,(2009)
"
Documentary, Drama, Family            ",47,Home,8.6,120 min,20010,(I) (2009)
"
Comedy, Romance            ",7,Miss March,5.0,90 min,19661,(2009)
"
Comedy, Romance            ",29,New in Town,5.6,97 min,19637,(2009)
"
Comedy            ",39,"The Goods: Live Hard, Sell Hard",5.8,89 min,18984,(2009)
"
Comedy, Drama, Horror            ",43,Survival of the Dead,4.9,90 min,18871,(2009)
"
Comedy, Family            ",51,Hotel for Dogs,5.4,100 min,18866,(2009)
"
Animation, Adventure, Comedy            ",42,Aliens in the Attic,5.4,86 min,18796,(2009)
"
Drama, Mystery, Romance            ",65,Ondine,6.8,111 min,18458,(2009)
"
Action, Crime, Mystery            ",26,Echelon Conspiracy,5.8,105 min,17874,(2009)
"
Crime, Drama, Mystery            ",41,The Limits of Control,6.3,116 min,17644,(2009)
"
Drama, Thriller            ",54,Cracks,6.7,104 min,17471,(I) (2009)
"
Comedy, Drama            ",40,Shrink,6.7,104 min,17413,(2009)
"
Drama, Romance            ",79,Io sono l'amore,7.1,120 min,17289,(2009)
"
Documentary, Music            ",45,Jonas Brothers: The 3D Concert Experience,2.1,76 min,17150,(2009)
"
Drama            ",37,Love and Other Impossible Pursuits,6.4,102 min,17145,(2009)
"
Comedy, Drama            ",37,Paper Man,6.6,110 min,16933,(2009)
"
Comedy, Romance            ",34,My Life in Ruins,5.9,95 min,16761,(2009)
"
Biography, Drama, Romance            ",76,The Last Station,7.0,112 min,16516,(2009)
"
Comedy, Drama, Music            ",60,Le concert,7.6,119 min,16218,(2009)
"
Comedy, Drama, Musical            ",39,Fame,5.0,107 min,15089,(2009)
"
Drama            ",66,The Girlfriend Experience,5.5,77 min,14859,(2009)
"
Comedy, Drama, Romance            ",69,Solitary Man,6.4,90 min,14511,(2009)
"
Comedy, Drama, Fantasy            ",66,Looking for Eric,7.2,116 min,14404,(2009)
"
Action, Horror, Thriller            ",28,Blood: The Last Vampire,5.3,91 min,13792,(2009)
"
Comedy, Drama, Family            ",66,Bandslam,6.4,111 min,12879,(2009)
"
Comedy, Romance            ",35,Post Grad,5.3,88 min,12794,(2009)
"
Action, Comedy, Crime            ",19,Bitch Slap,4.5,109 min,12771,(2009)
"
Biography, Drama, Romance            ",51,Creation,6.7,108 min,12659,(I) (2009)
"
Comedy, Drama, Romance            ",49,The Private Lives of Pippa Lee,6.4,98 min,11988,(2009)
"
Comedy            ",40,The Slammin' Salmon,6.5,90 min,11919,(2009)
"
Comedy, Drama, Family            ",54,Imagine That,5.6,107 min,11893,(2009)
"
Drama            ",65,Tetro,6.9,127 min,11577,(2009)
"
Crime, Drama, Mystery            ",35,Beyond a Reasonable Doubt,5.9,106 min,11496,(2009)
"
Drama, Thriller            ",62,Five Minutes of Heaven,6.7,89 min,11428,(2009)
"
Action, Adventure, Comedy            ",58,OSS 117: Rio ne répond plus,6.9,101 min,11102,(2009)
"
Adventure, Biography, Drama            ",37,Amelia,5.8,111 min,11006,(2009)
"
Action, Comedy, Music            ",40,Dance Flick,3.5,83 min,10798,(2009)
"
Drama, Romance            ",64,Mother and Child,7.2,125 min,10668,(2009)
"
Biography, Drama            ",54,Desert Flower,7.4,120 min,10613,(2009)
"
Comedy, Crime, Drama            ",50,Madea Goes to Jail,4.3,103 min,10522,(2009)
"
Drama, War            ",85,Lebanon,6.9,93 min,10269,(2009)
"
Action, Crime, Drama            ",63,San suk si gin,7.1,119 min,10245,(2009)
"
Comedy, Drama            ",30,Paa,7.2,133 min,10170,(2009)
"
Adventure, Comedy, Sci-Fi            ",28,Gentlemen Broncos,6.2,89 min,10035,(2009)
"
Comedy, Fantasy, Horror            ",57,The Revenant,6.3,117 min,9979,(I) (2009)
"
Crime, Drama, History            ",63,Polytechnique,7.3,77 min,9675,(2009)
"
Comedy, Drama, Romance            ",63,Chéri,6.2,100 min,9674,(2009)
"
Action, Comedy, Crime            ",46,Next Day Air,5.9,84 min,9669,(2009)
"
Drama            ",57,The Boys Are Back,6.9,104 min,9432,(2009)
"
Drama, Fantasy, Horror            ",58,Heartless,6.0,114 min,9390,(I) (2009)
"
Drama, History, War            ",85,Nanjing! Nanjing!,7.7,132 min,9299,(2009)
"
Crime, Drama, Thriller            ",35,New York,6.8,153 min,9240,(2009)
"
Comedy, Drama            ",69,Cold Souls,6.5,101 min,9071,(2009)
"
Drama, Romance            ",51,Mammoth,6.9,125 min,9042,(2009)
"
Comedy, Drama            ",55,I Can Do Bad All by Myself,4.3,113 min,8910,(2009)
"
Drama, Thriller            ",59,"My Son, My Son, What Have Ye Done",6.3,91 min,8555,(2009)
"
Comedy, Romance            ",47,The Good Guy,5.9,90 min,8549,(2009)
"
Drama            ",58,Luck by Chance,7.1,156 min,8549,(2009)
"
Comedy, Drama            ",54,De helaasheid der dingen,7.4,108 min,8497,(2009)
"
Comedy, Crime, Drama            ",70,Big Fan,6.7,88 min,8458,(2009)
"
Documentary, Drama            ",75,Océans,7.8,104 min,8361,(2009)
"
Comedy, Crime, Mystery            ",42,Mystery Team,6.8,97 min,8241,(2009)
"
Documentary, Music            ",55,The Doors: When You're Strange,7.7,86 min,8154,(2009)
"
Drama, Romance            ",45,The Greatest,6.7,99 min,8142,(2009)
"
Comedy            ",26,I Hope They Serve Beer in Hell,5.3,105 min,7848,(2009)
"
Adventure, Biography, Comedy            ",62,My One and Only,6.6,108 min,7812,(2009)
"
Comedy, Drama, Romance            ",54,Paper Heart,6.0,88 min,7685,(2009)
"
Drama            ",64,Le hérisson,7.4,100 min,7632,(2009)
"
Comedy, Romance            ",17,I Hate Valentine's Day,4.7,98 min,7628,(2009)
"
Comedy, Crime, Romance            ",36,Serious Moonlight,5.4,81 min,7264,(2009)
"
Drama, Horror, Thriller            ",52,Grace,5.2,84 min,7212,(III) (2009)
"
Comedy, Drama            ",65,The Vicious Kind,7.0,92 min,7110,(2009)
"
Documentary, Comedy, Drama            ",61,Best Worst Movie,7.3,93 min,6908,(2009)
"
Documentary, Crime, Horror            ",73,Cropsey,6.3,84 min,6825,(2009)
"
Documentary            ",69,The September Issue,7.0,90 min,6817,(2009)
"
Animation, Drama, Mystery            ",47,Metropia,6.3,86 min,6798,(2009)
"
Action, Comedy, Fantasy            ",44,Chandni Chowk to China,4.0,154 min,6782,(2009)
"
Biography, Drama, Music            ",55,Mao's Last Dancer,7.3,117 min,6757,(2009)
"
Animation, Adventure, Comedy            ",70,Panique au village,7.5,75 min,6590,(2009)
"
Drama            ",61,Welcome,7.6,110 min,6548,(I) (2009)
"
Crime, Drama, Mystery            ",77,Red Riding: The Year of Our Lord 1983,7.3,100 min,6387,(2009 TV Movie)
"
Drama, Music            ",71,Kasi az gorbehaye irani khabar nadareh,7.2,106 min,6282,(2009)
"
Documentary            ",71,Collapse,7.8,82 min,6266,(II) (2009)
"
Comedy, Drama            ",69,Life During Wartime,6.4,98 min,6210,(2009)
"
Crime, Drama            ",47,44 Inch Chest,5.8,95 min,6198,(2009)
